date,cash,holdings_value,total_value,AAPL_shares,MSFT_shares,GOOGL_shares,NVDA_shares
2023-12-14,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-12-15,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-12-18,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-12-19,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-12-20,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-12-21,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-12-22,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-12-26,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-12-27,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-12-28,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2023-12-29,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-01-02,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-01-03,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-01-04,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-01-05,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-01-08,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-01-09,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-01-10,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-01-11,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-01-12,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-01-16,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-01-17,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-01-18,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-01-19,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-01-22,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-01-23,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-01-24,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-01-25,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-01-26,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-01-29,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-01-30,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-01-31,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-02-01,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-02-02,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-02-05,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-02-06,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-02-07,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-02-08,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-02-09,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-02-12,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-02-13,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-02-14,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-02-15,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-02-16,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-02-20,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-02-21,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-02-22,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-02-23,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-02-26,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-02-27,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-02-28,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-02-29,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-03-01,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-03-04,11934.495498657227,0.0,11934.495498657227,0.0,0.0,0.0,0.0
2024-03-05,9552.815567016602,2381.679931640625,11934.495498657227,14.0,0.0,0.0,0.0
2024-03-06,9552.815567016602,2367.679931640625,11920.495498657227,14.0,0.0,0.0,0.0
2024-03-07,9552.815567016602,2366.0,11918.815567016602,14.0,0.0,0.0,0.0
2024-03-08,9552.815567016602,2390.219940185547,11943.035507202148,14.0,0.0,0.0,0.0
2024-03-11,11971.315567016602,0.0,11971.315567016602,0.0,0.0,0.0,0.0
2024-03-12,11971.315567016602,0.0,11971.315567016602,0.0,0.0,0.0,0.0
2024-03-13,11971.315567016602,0.0,11971.315567016602,0.0,0.0,0.0,0.0
2024-03-14,11971.315567016602,0.0,11971.315567016602,0.0,0.0,0.0,0.0
2024-03-15,11971.315567016602,0.0,11971.315567016602,0.0,0.0,0.0,0.0
2024-03-18,11971.315567016602,0.0,11971.315567016602,0.0,0.0,0.0,0.0
2024-03-19,11971.315567016602,0.0,11971.315567016602,0.0,0.0,0.0,0.0
2024-03-20,11971.315567016602,0.0,11971.315567016602,0.0,0.0,0.0,0.0
2024-03-21,11971.315567016602,0.0,11971.315567016602,0.0,0.0,0.0,0.0
2024-03-22,11971.315567016602,0.0,11971.315567016602,0.0,0.0,0.0,0.0
2024-03-25,11971.315567016602,0.0,11971.315567016602,0.0,0.0,0.0,0.0
2024-03-26,9595.375473022461,2375.9400939941406,11971.315567016602,14.0,0.0,0.0,0.0
2024-03-27,12021.715438842773,0.0,12021.715438842773,0.0,0.0,0.0,0.0
2024-03-28,12021.715438842773,0.0,12021.715438842773,0.0,0.0,0.0,0.0
2024-04-01,9641.295455932617,2380.4199829101562,12021.715438842773,14.0,0.0,0.0,0.0
2024-04-02,9641.295455932617,2363.7599487304688,12005.055404663086,14.0,0.0,0.0,0.0
2024-04-03,9641.295455932617,2375.0999145507812,12016.395370483398,14.0,0.0,0.0,0.0
2024-04-04,9641.295455932617,2363.4801025390625,12004.77555847168,14.0,0.0,0.0,0.0
2024-04-05,9641.295455932617,2374.1200256347656,12015.415481567383,14.0,0.0,0.0,0.0
2024-04-08,9641.295455932617,2358.2999572753906,11999.595413208008,14.0,0.0,0.0,0.0
2024-04-09,9641.295455932617,2375.3799743652344,12016.675430297852,14.0,0.0,0.0,0.0
2024-04-10,9641.295455932617,2348.9199829101562,11990.215438842773,14.0,0.0,0.0,0.0
2024-04-11,12091.855361938477,0.0,12091.855361938477,0.0,0.0,0.0,0.0
2024-04-12,12091.855361938477,0.0,12091.855361938477,0.0,0.0,0.0,0.0
2024-04-15,12091.855361938477,0.0,12091.855361938477,0.0,0.0,0.0,0.0
2024-04-16,9720.535293579102,2371.320068359375,12091.855361938477,14.0,0.0,0.0,0.0
2024-04-17,9720.535293579102,2352.0,12072.535293579102,14.0,0.0,0.0,0.0
2024-04-18,9720.535293579102,2338.5599060058594,12059.095199584961,14.0,0.0,0.0,0.0
2024-04-19,9720.535293579102,2310.0,12030.535293579102,14.0,0.0,0.0,0.0
2024-04-22,9720.535293579102,2321.7599487304688,12042.29524230957,14.0,0.0,0.0,0.0
2024-04-23,9720.535293579102,2336.5999145507812,12057.135208129883,14.0,0.0,0.0,0.0
2024-04-24,9720.535293579102,2366.280059814453,12086.815353393555,14.0,0.0,0.0,0.0
2024-04-25,9720.535293579102,2378.459991455078,12098.99528503418,14.0,0.0,0.0,0.0
2024-04-26,9720.535293579102,2370.2000427246094,12090.735336303711,14.0,0.0,0.0,0.0
2024-04-29,12149.535293579102,0.0,12149.535293579102,0.0,0.0,0.0,0.0
2024-04-30,9764.915267944336,2384.6200256347656,12149.535293579102,14.0,0.0,0.0,0.0
2024-05-01,9764.915267944336,2370.2000427246094,12135.115310668945,14.0,0.0,0.0,0.0
2024-05-02,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-05-03,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-05-06,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-05-07,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-05-08,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-05-09,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-05-10,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-05-13,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-05-14,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-05-15,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-05-16,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-05-17,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-05-20,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-05-21,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-05-22,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-05-23,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-05-24,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-05-28,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-05-29,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-05-30,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-05-31,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-06-03,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-06-04,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-06-05,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-06-06,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-06-07,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-06-10,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-06-11,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-06-12,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-06-13,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-06-14,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-06-17,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-06-18,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-06-20,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-06-21,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-06-24,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-06-25,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-06-26,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-06-27,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-06-28,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-07-01,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-07-02,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-07-03,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-07-05,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-07-08,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-07-09,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-07-10,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-07-11,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-07-12,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-07-15,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-07-16,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-07-17,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-07-18,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-07-19,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-07-22,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-07-23,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-07-24,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-07-25,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-07-26,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-07-29,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-07-30,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-07-31,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-08-01,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-08-02,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-08-05,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-08-06,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-08-07,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-08-08,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-08-09,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-08-12,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-08-13,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-08-14,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-08-15,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-08-16,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-08-19,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-08-20,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-08-21,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-08-22,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-08-23,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-08-26,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-08-27,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-08-28,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-08-29,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-08-30,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-09-03,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-09-04,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
2024-09-05,12187.335250854492,0.0,12187.335250854492,0.0,0.0,0.0,0.0
