date,cash,holdings_value,total_value,NVDA_shares
2022-12-30,9436.956970214844,0.0,9436.956970214844,0.0
2023-01-03,9436.956970214844,0.0,9436.956970214844,0.0
2023-01-04,9436.956970214844,0.0,9436.956970214844,0.0
2023-01-05,9436.956970214844,0.0,9436.956970214844,0.0
2023-01-06,9436.956970214844,0.0,9436.956970214844,0.0
2023-01-09,9436.956970214844,0.0,9436.956970214844,0.0
2023-01-10,9436.956970214844,0.0,9436.956970214844,0.0
2023-01-11,9436.956970214844,0.0,9436.956970214844,0.0
2023-01-12,4731.322061538696,4705.6349086761475,9436.956970214844,285.0
2023-01-13,4731.322061538696,4816.215047836304,9547.537109375,285.0
2023-01-17,4731.322061538696,5045.069904327393,9776.391965866089,285.0
2023-01-18,4731.322061538696,4952.445230484009,9683.767292022705,285.0
2023-01-19,4731.322061538696,4778.024826049805,9509.346887588501,285.0
2023-01-20,4731.322061538696,5084.115200042725,9815.43726158142,285.0
2023-01-23,4731.322061538696,5470.005226135254,10201.32728767395,285.0
2023-01-24,4731.322061538696,5490.524826049806,10221.846887588501,285.0
2023-01-25,4731.322061538696,5507.054986953736,10238.377048492432,285.0
2023-01-26,4731.322061538696,5643.570013046265,10374.892074584961,285.0
2023-01-27,4731.322061538696,5804.024934768677,10535.346996307373,285.0
2023-01-30,4731.322061538696,5461.17018699646,10192.492248535156,285.0
2023-01-31,4731.322061538696,5568.04518699646,10299.367248535156,285.0
2023-02-01,4731.322061538696,5968.755226135254,10700.07728767395,285.0
2023-02-02,4731.322061538696,6187.064895629883,10918.38695716858,285.0
2023-02-03,4731.322061538696,6013.500108718872,10744.822170257568,285.0
2023-02-06,4731.322061538696,6010.365200042725,10741.68726158142,285.0
2023-02-07,4731.322061538696,6319.305095672607,11050.627157211304,285.0
2023-02-08,4731.322061538696,6328.424978256225,11059.747039794922,285.0
2023-02-09,4731.322061538696,6366.044969558717,11097.367031097412,285.0
2023-02-10,4731.322061538696,6060.524826049806,10791.846887588501,285.0
2023-02-13,4731.322061538696,6209.580030441284,10940.90209197998,285.0
2023-02-14,4731.322061538696,6546.735191345215,11278.057252883911,285.0
2023-02-15,4731.322061538696,6487.7399826049805,11219.062044143677,285.0
2023-02-16,4731.322061538696,6270.570230484009,11001.892292022705,285.0
2023-02-17,4731.322061538696,6095.580139160156,10826.902200698853,285.0
2023-02-21,4731.322061538696,5886.67519569397,10617.997257232666,285.0
2023-02-22,4731.322061538696,5914.889917373657,10646.211978912354,285.0
2023-02-23,4731.322061538696,6744.239873886109,11475.561935424805,285.0
2023-02-24,4731.322061538696,6636.509799957275,11367.831861495972,285.0
2023-02-27,4731.322061538696,6697.784843444825,11429.10690498352,285.0
2023-02-28,4731.322061538696,6616.559886932373,11347.88194847107,285.0
2023-03-01,4731.322061538696,6468.929986953736,11200.252048492432,285.0
2023-03-02,4731.322061538696,6644.489765167236,11375.811826705933,285.0
2023-03-03,4731.322061538696,6808.649826049806,11539.971887588501,285.0
2023-03-06,4731.322061538696,6712.890243530273,11444.21230506897,285.0
2023-03-07,4731.322061538696,6637.080030441284,11368.40209197998,285.0
2023-03-08,4731.322061538696,6891.584930419921,11622.906991958618,285.0
2023-03-09,4731.322061538696,6679.260234832764,11410.58229637146,285.0
2023-03-10,4731.322061538696,6545.025043487549,11276.347105026245,285.0
2023-03-13,4731.322061538696,6545.309886932373,11276.63194847107,285.0
2023-03-14,4731.322061538696,6857.954921722413,11589.276983261108,285.0
2023-03-15,4731.322061538696,6904.980182647705,11636.302244186401,285.0
